API Number,True Vertical Depth,Latitude,Longitude,BO/ft,GOR,WOR,FirstProdDate,,,
4230134090,3407,31.81111,103.72853,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,3594,31.8111,103.72849,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,3768,31.81108,103.72844,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,3781,31.81108,103.72843,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,3925,31.81106,103.72838,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,3951,31.81105,103.72838,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,3969,31.81105,103.72837,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,4154,31.81103,103.7283,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,4340,31.81101,103.72822,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,4526,31.81099,103.72811,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,4709,31.81098,103.72799,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,4861,31.81096,103.72789,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,4892,31.81095,103.72786,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,5075,31.81091,103.72774,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,5257,31.81084,103.72762,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,5440,31.81078,103.72751,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,5626,31.81073,103.72741,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,5812,31.81069,103.72735,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,5999,31.81069,103.72731,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,6187,31.81071,103.72731,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,6284,31.81072,103.72731,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,6374,31.81073,103.72731,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,6562,31.81075,103.72733,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,6748,31.81077,103.72735,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,6935,31.81079,103.72737,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,7123,31.81079,103.72738,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,7310,31.81079,103.72739,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,7498,31.81078,103.7274,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,7686,31.81077,103.7274,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,7873,31.81076,103.72741,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,7921,31.81076,103.72741,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,8016,31.81075,103.72742,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,8061,31.81075,103.72742,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,8249,31.81074,103.72742,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,8437,31.81073,103.72743,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,8453,31.81073,103.72743,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,8624,31.81072,103.72743,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,8811,31.81071,103.72743,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,8937,31.81071,103.72743,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,8999,31.81071,103.72743,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,9187,31.81071,103.72743,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,9236,31.81071,103.72743,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,9375,31.81071,103.72743,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,9562,31.8107,103.72742,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,9750,31.8107,103.72742,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,9938,31.81069,103.72742,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,9996,31.81069,103.72742,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,10125,31.81069,103.72743,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,10313,31.81068,103.72743,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,10501,31.81067,103.72744,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,10511,31.81067,103.72744,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,10607,31.81066,103.72744,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,10646,31.81066,103.72744,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,10654,31.81067,103.72744,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,10699,31.81068,103.72744,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,10745,31.8107,103.72744,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,10790,31.81074,103.72743,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,10833,31.81079,103.72743,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,10874,31.81086,103.72742,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,10913,31.81093,103.72741,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,10950,31.81101,103.7274,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,10971,31.81106,103.72739,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,10984,31.8111,103.72739,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,11006,31.81117,103.72738,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,11014,31.81119,103.72738,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,11041,31.8113,103.72737,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,11065,31.81141,103.72737,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,11086,31.81152,103.72737,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,11103,31.81164,103.72737,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,11115,31.81174,103.72737,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,11128,31.81187,103.72737,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,11131,31.81189,103.72737,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,11142,31.81202,103.72737,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,11152,31.81214,103.72738,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,11160,31.8124,103.72739,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,11160,31.81258,103.7274,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,11159,31.81274,103.72741,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,11159,31.813,103.72743,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,11159,31.81325,103.72744,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,11160,31.81351,103.72744,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,11161,31.81377,103.72744,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,11160,31.81403,103.72743,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,11160,31.81428,103.72742,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,11159,31.81454,103.72741,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,11160,31.8148,103.72739,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,11164,31.81505,103.72737,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,11167,31.81531,103.72735,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,11170,31.81557,103.72733,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,11172,31.81582,103.72731,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,11172,31.81608,103.72729,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,11170,31.81634,103.72727,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,11168,31.8166,103.72726,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,11166,31.81685,103.72726,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,11164,31.81711,103.72725,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,11161,31.81737,103.72725,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,11159,31.81763,103.72725,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,11159,31.81788,103.72725,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,11161,31.81814,103.72726,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,11161,31.8184,103.72727,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,11160,31.81866,103.72727,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,11160,31.81892,103.72728,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,11160,31.81917,103.72728,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,11159,31.81943,103.72728,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,11160,31.81969,103.72728,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,11163,31.81995,103.72728,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,11166,31.82021,103.72728,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,11168,31.82047,103.72729,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,11170,31.82072,103.72729,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,11172,31.82098,103.7273,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,11171,31.82124,103.72729,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,11169,31.8215,103.72729,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,11167,31.82176,103.72728,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,11165,31.82201,103.72728,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,11163,31.82227,103.72727,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,11161,31.82253,103.72727,89.9648895,5754.774806,6.223273045,2019,,,
